std_id,first_name,last_name,email,gender,age,department,attendance(%),middle_score,final_score,assignment_avg,quizes_avg,participation_score,project_score,total_score,grade,study_hour_per_week
STD1041,Bilal,Ansari,bilal.ansari041@university.edu,Male,19,Economics,96.8,84,65,83.2,51.9,69,82,75.4,B,24
STD1042,Maryam,Ansari,maryam.ansari042@university.edu,Female,23,Physics,87.9,80,53,59.6,81.6,74,93,72.5,C,54
STD1043,Saad,Raza,saad.raza043@university.edu,Male,22,Physics,81.9,45,64,64.3,68.6,87,88,69.3,C,64
STD1044,Iqra,Iqbal,iqra.iqbal044@university.edu,Female,25,Economics,68.5,75,95,95.1,88.8,60,92,84.8,B,34
STD1045,Hamza,Farooq,hamza.farooq045@university.edu,Male,23,Computer Science,92.7,93,60,83.6,57.4,62,59,71.5,C,34
STD1046,Ali,Sheikh,ali.sheikh046@university.edu,Male,25,English,94,49,74,70.7,79.6,62,95,74.3,C,29
STD1047,Iqra,Ansari,iqra.ansari047@university.edu,Female,21,Business,86.2,45,93,93,93.7,99,77,83.4,B,33
STD1048,Usman,Qureshi,usman.qureshi048@university.edu,Male,25,Computer Science,82.3,52,74,56.7,70.6,83,85,71.1,C,31
STD1049,Mehwish,Abbasi,mehwish.abbasi049@university.edu,Female,25,English,92.6,77,72,91.5,75.1,60,97,80.6,B,21
STD1050,Iqra,Butt,iqra.butt050@university.edu,Female,21,Economics,71.1,94,78,74.2,58.2,78,54,73.6,C,12
STD1051,Hira,Butt,hira.butt051@university.edu,Female,23,Mathematics,95.7,50,53,57.5,66.1,59,95,65.7,C,21
STD1052,Ahmed,Ansari,ahmed.ansari052@university.edu,Male,24,Mathematics,81.7,71,48,60.3,68.1,99,87,69.6,C,53
STD1053,Kashif,Abbasi,kashif.abbasi053@university.edu,Male,24,Physics,60.2,67,64,87.7,91.9,76,84,74.6,C,33
STD1054,Danish,Sheikh,danish.sheikh054@university.edu,Male,22,Physics,79.4,69,66,83.4,88.9,96,60,74.8,C,55
STD1055,Areeba,Malik,areeba.malik055@university.edu,Female,18,Physics,83.7,87,46,54.2,68.6,79,61,65,C,44
STD1056,Hamza,Ansari,hamza.ansari056@university.edu,Male,23,Business,78.2,66,93,94,60.3,76,66,78.6,B,34
STD1057,Danish,Khan,danish.khan057@university.edu,Male,18,Mathematics,69,49,94,97.9,47.2,51,65,72,C,45
STD1058,Kashif,Khan,kashif.khan058@university.edu,Male,20,Business,65,87,52,78.2,57,94,66,69.3,C,65
STD1059,Zara,Raza,zara.raza059@university.edu,Female,19,Business,98.6,51,82,51.3,62.2,93,74,72.3,C,45
STD1060,Eman,Sheikh,eman.sheikh060@university.edu,Female,19,English,87.6,85,60,55.1,87.5,93,88,76,B,34
STD1061,Talha,Raza,talha.raza061@university.edu,Male,18,Mathematics,81.3,87,68,53.4,80.6,50,76,70.7,C,22
STD1062,Fatima,Ansari,fatima.ansari062@university.edu,Female,23,Economics,95.7,74,90,57.6,54.7,83,91,79.2,B,21
STD1063,Anaya,Qureshi,anaya.qureshi063@university.edu,Female,25,Physics,77.4,91,82,63.4,91.8,55,67,76.1,B,76
STD1064,Hira,Qureshi,hira.qureshi064@university.edu,Female,25,English,84.4,69,66,51.4,91.8,61,81,70.4,C,22
STD1065,Bilal,Qureshi,bilal.qureshi065@university.edu,Male,22,Mathematics,71.2,83,89,94,75.6,83,62,81.1,B,53
STD1066,Hassan,Siddiqui,hassan.siddiqui066@university.edu,Male,24,Physics,82.2,60,89,73.8,84.2,78,100,81.8,B,45
STD1067,Ahmed,Butt,ahmed.butt067@university.edu,Male,21,Physics,87.7,64,87,79.1,71,83,72,78.2,B,22
STD1068,Eman,Farooq,eman.farooq068@university.edu,Female,23,Mathematics,88.1,62,64,62.6,51.6,62,70,65.4,C,66
STD1069,Ibrahim,Farooq,ibrahim.farooq069@university.edu,Male,20,Business,68.7,75,62,86.2,98.7,83,88,77.9,B,45
STD1070,Fatima,Mughal,fatima.mughal070@university.edu,Female,21,Mathematics,69.1,56,64,50.7,74.4,67,52,60.9,D,22
STD1071,Umar,Butt,umar.butt071@university.edu,Male,20,Economics,94.7,76,51,93.6,76.6,80,80,75.3,B,77
STD1072,Maham,Malik,maham.malik072@university.edu,Female,18,Mathematics,97.6,75,52,91.1,67,54,86,72.7,C,33
STD1073,Usman,Malik,usman.malik073@university.edu,Male,22,Computer Science,99.8,52,80,88.2,78.3,100,89,82.2,B,11
STD1074,Talha,Farooq,talha.farooq074@university.edu,Male,24,Physics,96.3,64,82,99.5,61.8,89,53,77.7,B,43
STD1075,Talha,Sheikh,talha.sheikh075@university.edu,Male,21,Mathematics,86.4,55,60,58.7,49.1,50,76,62,D,43
STD1076,Eman,Raza,eman.raza076@university.edu,Female,25,Mathematics,61.3,63,90,64.1,92.3,54,93,76.3,B,23
STD1077,Farhan,Butt,farhan.butt077@university.edu,Male,21,Physics,64.6,59,86,57.4,59.6,59,54,65.4,C,34
STD1078,Usman,Qureshi,usman.qureshi078@university.edu,Male,22,English,90,81,63,72,70.8,69,94,75.8,B,54
STD1079,Noor,Farooq,noor.farooq079@university.edu,Female,25,Physics,63.2,47,72,86.7,78.2,51,55,65.5,C,45
STD1080,Ahsan,Mughal,ahsan.mughal080@university.edu,Male,18,Economics,92.9,81,47,88.2,54.6,83,91,73.8,C,2
STD1081,Areeba,Butt,areeba.butt081@university.edu,Female,20,English,77.4,76,50,73.5,67.5,70,92,70.2,C,33
STD1082,Kashif,Malik,kashif.malik082@university.edu,Male,23,Physics,87.7,63,87,97.3,89.7,85,52,79.8,B,56
STD1083,Fatima,Chaudhry,fatima.chaudhry083@university.edu,Female,22,Mathematics,64.6,94,70,93.2,90.4,50,92,79.9,B,21
STD1084,Sana,Khan,sana.khan084@university.edu,Female,21,English,74.5,93,76,81.3,86.8,63,67,77.6,B,22
STD1085,Farhan,Butt,farhan.butt085@university.edu,Male,25,Economics,79.4,46,85,80.4,58.2,60,69,70.3,C,11
STD1086,Umar,Ansari,umar.ansari086@university.edu,Male,19,Business,99.7,52,74,97.4,80.6,59,81,77,B,13
STD1087,Laiba,Siddiqui,laiba.siddiqui087@university.edu,Female,22,Physics,93.4,75,60,72.8,53,62,88,71.2,C,77
STD1088,Kashif,Ahmed,kashif.ahmed088@university.edu,Male,22,Physics,73.6,95,77,63.4,45.1,96,69,74.8,C,34
STD1089,Kinza,Malik,kinza.malik089@university.edu,Female,25,English,79.4,66,80,88.1,65.7,70,62,73.9,C,33
STD1090,Saad,Ansari,saad.ansari090@university.edu,Male,21,Physics,61.7,92,75,85.3,89.6,74,92,81.7,B,76
STD1091,Danish,Khan,danish.khan091@university.edu,Male,20,English,98.6,66,51,93.7,69.2,83,79,73.6,C,43
STD1092,Ibrahim,Malik,ibrahim.malik092@university.edu,Male,24,Economics,98.8,49,75,89.1,59.6,89,94,78.3,B,22
STD1093,Maryam,Ahmed,maryam.ahmed093@university.edu,Female,23,Economics,94.4,69,65,81.3,93.8,81,84,78.3,B,44
STD1094,Saad,Ahmed,saad.ahmed094@university.edu,Male,21,Economics,87.4,63,59,87.3,68.9,56,98,73.2,C,16
STD1095,Danish,Malik,danish.malik095@university.edu,Male,22,Computer Science,61.8,95,48,64.7,65.6,59,65,64.3,D,12
STD1096,Anaya,Nawaz,anaya.nawaz096@university.edu,Female,20,Business,67,84,69,81,58.2,87,59,72.1,C,12
STD1097,Danish,Nawaz,danish.nawaz097@university.edu,Male,22,Physics,70.2,45,96,73.3,60.8,84,60,72.2,C,34
STD1098,Danish,Chaudhry,danish.chaudhry098@university.edu,Male,22,Economics,98.5,89,61,72.8,61.6,74,80,74.9,C,12
STD1099,Hassan,Ansari,hassan.ansari099@university.edu,Male,23,English,71.8,89,63,51.1,90.7,75,67,70.6,C,45
