emp_id,name,age,salary(pk),experience(year),city,department,rating,performance
E1046,Employee_47,43,217102.0,10.5,Faisalabad,HR,2.9,
E1047,Employee_48,56,193126.0,14.9,Peshawar,IT,3.7,
E1048,Employee_49,56,46630.0,0.5,Peshawar,Operations,4.1,
E1049,Employee_50,30,92675.0,7.5,Islamabad,Sales,4.7,
E1050,Employee_51,39,77373.0,12.2,Karachi,HR,3.3,
E1051,Employee_52,54,144411.0,1.2,Islamabad,IT,3.4,
E1052,Employee_53,42,196504.0,12.0,Karachi,Finance,2.5,
E1053,Employee_54,52,64346.0,9.7,Peshawar,Finance,4.2,
E1054,Employee_55,23,164140.0,6.9,Peshawar,Finance,4.6,
E1055,Employee_56,29,139975.0,16.0,Karachi,Operations,4.5,
E1056,Employee_57,51,217688.0,1.9,Faisalabad,HR,3.3,
E1057,Employee_58,25,163618.0,8.8,Karachi,IT,2.8,
E1058,Employee_59,39,177982.0,1.2,Faisalabad,IT,4.1,
E1059,Employee_60,33,52705.0,4.5,Lahore,Sales,3.6,
E1060,Employee_61,51,131078.0,19.9,Karachi,Operations,3.0,
E1061,Employee_62,35,68633.0,18.5,Peshawar,HR,4.3,
E1062,Employee_63,38,65270.0,11.4,Islamabad,HR,3.4,
E1063,Employee_64,22,173909.0,15.2,Faisalabad,HR,2.8,
E1064,Employee_65,54,200073.0,12.2,Faisalabad,IT,2.5,
E1065,Employee_66,37,224571.0,12.9,Lahore,Sales,4.0,
E1066,Employee_67,43,135498.0,13.7,Karachi,IT,3.1,
E1067,Employee_68,55,184013.0,7.4,Lahore,IT,2.9,
E1068,Employee_69,31,225001.0,6.8,Islamabad,Operations,4.8,
E1069,Employee_70,36,187161.0,9.0,Faisalabad,Finance,2.5,
E1070,Employee_71,43,153425.0,4.2,Multan,HR,3.8,
E1071,Employee_72,28,248932.0,1.2,Karachi,IT,4.5,
E1072,Employee_73,43,73055.0,18.1,Karachi,Marketing,3.7,
E1073,Employee_74,38,46070.0,7.7,Multan,IT,3.2,
E1074,Employee_75,29,73107.0,10.0,Faisalabad,Finance,2.7,
E1075,Employee_76,43,200171.0,9.6,Faisalabad,IT,3.3,
E1076,Employee_77,27,98845.0,19.4,Multan,Operations,3.3,
E1077,Employee_78,42,222307.0,7.9,Faisalabad,IT,4.0,
E1078,Employee_79,37,213764.0,15.7,Faisalabad,Marketing,2.8,
E1079,Employee_80,44,213073.0,5.0,Peshawar,Operations,3.5,
E1080,Employee_81,54,220160.0,5.9,Faisalabad,Finance,3.5,
E1081,Employee_82,30,170700.0,15.3,Faisalabad,IT,3.5,
E1082,Employee_83,38,54481.0,9.9,Faisalabad,IT,4.9,
E1083,Employee_84,23,134044.0,16.1,Islamabad,Finance,2.8,
E1084,Employee_85,45,133524.0,4.1,Faisalabad,Marketing,4.4,
E1085,Employee_86,37,130658.0,13.8,Multan,Finance,4.7,
E1086,Employee_87,24,211534.0,6.5,Lahore,HR,2.8,
E1087,Employee_88,50,145242.0,18.8,Karachi,Operations,4.9,
E1088,Employee_89,58,182082.0,1.8,Multan,IT,3.9,
E1089,Employee_90,32,64682.0,12.2,Multan,Finance,4.3,
E1090,Employee_91,44,40580.0,15.2,Peshawar,Operations,3.5,
E1091,Employee_92,39,97853.0,18.7,Lahore,Operations,4.6,
E1092,Employee_93,35,82908.0,12.8,Karachi,IT,3.1,
E1093,Employee_94,33,92216.0,6.6,Lahore,Finance,4.8,
E1094,Employee_95,27,222506.0,8.0,Karachi,Marketing,4.3,
E1095,Employee_96,35,249471.0,19.5,Lahore,Marketing,4.9,
E1096,Employee_97,33,211917.0,14.5,Lahore,HR,3.6,
E1097,Employee_98,53,51478.0,1.1,Islamabad,IT,4.6,
E1098,Employee_99,42,198056.0,2.9,Faisalabad,HR,3.6,
E1099,Employee_100,34,212073.0,3.8,Islamabad,Sales,4.4,
